rule key,start line,end line,severity,message,type
java:S1598,1,1,CONVENTIONAL,File path "" should match package name "org.open4goods.nudgerfrontapi.controller". Move the file or change the package name.,null,
java:S1192,40,40,DISTINCT,Define a constant instead of duplicating this literal "Title" 4 times.,null,
