rule key,start line,end line,severity,message,type
java:S1598,8,8,CONVENTIONAL,File path "" should match package name "io.camunda.optimize.rest.security.oauth". Move the file or change the package name.,null,
java:S1192,51,51,DISTINCT,Define a constant instead of duplicating this literal "roles" 5 times.,null,
java:S1192,52,52,DISTINCT,Define a constant instead of duplicating this literal "https://camunda.com/orgs" 6 times.,null,
java:S1192,51,51,DISTINCT,Define a constant instead of duplicating this literal "developer" 3 times.,null,
