rule key,start line,end line,severity,message,type
java:S1598,1,1,CONVENTIONAL,File path "" should match package name "de.morihofi.acmeserver.core.api.acme.api.endpoints". Move the file or change the package name.,null,
java:S1186,54,54,COMPLETE,Add a nested comment explaining why this method is empty, throw an UnsupportedOperationException or complete the implementation.,null,
java:S1186,55,55,COMPLETE,Add a nested comment explaining why this method is empty, throw an UnsupportedOperationException or complete the implementation.,null,
java:S1186,56,56,COMPLETE,Add a nested comment explaining why this method is empty, throw an UnsupportedOperationException or complete the implementation.,null,
