rule key,start line,end line,severity,message,type
java:S1104,33,33,MODULAR,Make TRANSITION_NAME a static final constant or non-public and provide accessors if needed.,null,
java:S1598,1,1,CONVENTIONAL,File path "" should match package name "com.halil.ozel.movieparadise.ui.tv". Move the file or change the package name.,null,
java:S1444,33,33,MODULAR,Make this "public static TRANSITION_NAME" field final,null,
java:S112,52,52,COMPLETE,Define and throw a dedicated exception instead of using a generic one.,null,
java:S3008,33,33,IDENTIFIABLE,Rename this field "TRANSITION_NAME" to match the regular expression '^[a-z][a-zA-Z0-9]*$'.,null,
java:S1450,37,37,CLEAR,Remove the "customDetailPresenter" field and declare it as a local variable in the relevant methods.,null,
java:S1450,38,38,CLEAR,Remove the "detailsOverviewRow" field and declare it as a local variable in the relevant methods.,null,
