rule key,start line,end line,severity,message,type
java:S1104,4,4,MODULAR,Make tag a static final constant or non-public and provide accessors if needed.,null,
java:S1104,5,5,MODULAR,Make valid a static final constant or non-public and provide accessors if needed.,null,
java:S1104,6,6,MODULAR,Make dirty a static final constant or non-public and provide accessors if needed.,null,
java:S1104,7,7,MODULAR,Make lastUsed a static final constant or non-public and provide accessors if needed.,null,
java:S1598,1,1,CONVENTIONAL,File path "" should match package name "org.edumips64.core.cache". Move the file or change the package name.,null,
