rule key,start line,end line,severity,message,type
java:S1598,6,6,CONVENTIONAL,File path "" should match package name "net.openhft.chronicle.testframework.internal.process". Move the file or change the package name.,null,
java:S4032,null,null,CLEAR,Remove this package.,null,
