rule key,start line,end line,severity,message,type
java:S1598,1,1,CONVENTIONAL,File path "" should match package name "com.cedarsoftware.io.factory". Move the file or change the package name.,null,
java:S6213,58,58,CLEAR,Rename this variable to not match a restricted identifier.,null,
