rule key,start line,end line,severity,message,type
java:S1598,1,1,CONVENTIONAL,File path "" should match package name "io.github.panghy.javaflow.simulation". Move the file or change the package name.,null,
java:S1192,36,36,DISTINCT,Define a constant instead of duplicating this literal "test_bug" 3 times.,null,
