rule key,start line,end line,severity,message,type
java:S1598,1,1,CONVENTIONAL,File path "" should match package name "io.github.panghy.javaflow.simulation". Move the file or change the package name.,null,
java:S1192,53,53,DISTINCT,Define a constant instead of duplicating this literal "unregistered_bug" 5 times.,null,
java:S1192,313,313,DISTINCT,Define a constant instead of duplicating this literal "not null" 3 times.,null,
java:S1192,131,131,DISTINCT,Define a constant instead of duplicating this literal "second" 4 times.,null,
java:S1192,116,116,DISTINCT,Define a constant instead of duplicating this literal "conditional_bug" 3 times.,null,
java:S1192,80,80,DISTINCT,Define a constant instead of duplicating this literal "recovery_bug" 3 times.,null,
java:S1192,45,45,DISTINCT,Define a constant instead of duplicating this literal "test_bug" 4 times.,null,
java:S1192,131,131,DISTINCT,Define a constant instead of duplicating this literal "first" 4 times.,null,
