rule key,start line,end line,severity,message,type
java:S1598,1,1,CONVENTIONAL,File path "" should match package name "com.cedarsoftware.util.convert". Move the file or change the package name.,null,
java:S1612,24,24,CLEAR,Replace this lambda with method reference 'Collection.class::isInstance'. (sonar.java.source not set. Assuming 8 or greater.),null,
java:S1612,52,52,CLEAR,Replace this lambda with method reference 'Collection.class::isInstance'. (sonar.java.source not set. Assuming 8 or greater.),null,
