rule key,start line,end line,severity,message,type
java:S1104,9,9,MODULAR,Make number a static final constant or non-public and provide accessors if needed.,null,
java:S1104,10,10,MODULAR,Make string a static final constant or non-public and provide accessors if needed.,null,
java:S1104,11,11,MODULAR,Make subPojo a static final constant or non-public and provide accessors if needed.,null,
java:S1598,1,1,CONVENTIONAL,File path "" should match package name "com.cedarsoftware.io". Move the file or change the package name.,null,
