rule key,start line,end line,severity,message,type
java:S1598,1,1,CONVENTIONAL,File path "" should match package name "com.cedarsoftware.util". Move the file or change the package name.,null,
java:S3740,110,110,COMPLETE,Provide the parametrized type for this generic.,null,
java:S3740,110,110,COMPLETE,Provide the parametrized type for this generic.,null,
java:S3740,113,113,COMPLETE,Provide the parametrized type for this generic.,null,
java:S1192,33,33,DISTINCT,Define a constant instead of duplicating this literal "hello" 3 times.,null,
java:S1192,99,99,DISTINCT,Define a constant instead of duplicating this literal "example.com" 3 times.,null,
java:S1186,163,163,COMPLETE,Add a nested comment explaining why this method is empty, throw an UnsupportedOperationException or complete the implementation.,null,
