rule key,start line,end line,severity,message,type
java:S1598,1,1,CONVENTIONAL,File path "" should match package name "com.cedarsoftware.util". Move the file or change the package name.,null,
java:S3011,24,24,MODULAR,This accessibility bypass should be removed.,null,
java:S3011,35,35,MODULAR,This accessibility bypass should be removed.,null,
