rule key,start line,end line,severity,message,type
java:S1598,1,1,CONVENTIONAL,File path "" should match package name "org.open4goods.staticserver.service". Move the file or change the package name.,null,
java:S1130,41,41,CLEAR,Remove the declaration of thrown exception 'java.io.FileNotFoundException' which is a subclass of 'java.io.IOException'.,null,
java:S1135,59,59,COMPLETE,Complete the task associated to this TODO comment.,null,
java:S1135,77,77,COMPLETE,Complete the task associated to this TODO comment.,null,
