rule key,start line,end line,severity,message,type
java:S1598,1,1,CONVENTIONAL,File path "" should match package name "com.cedarsoftware.util". Move the file or change the package name.,null,
java:S1192,27,27,DISTINCT,Define a constant instead of duplicating this literal "/echo" 3 times.,null,
java:S1161,126,126,CLEAR,Add the "@Override" annotation above this method signature,null,
