rule key,start line,end line,severity,message,type
java:S1598,1,1,CONVENTIONAL,File path "" should match package name "com.cedarsoftware.util". Move the file or change the package name.,null,
java:S1192,42,42,DISTINCT,Define a constant instead of duplicating this literal "nullKey" 3 times.,null,
java:S1192,19,19,DISTINCT,Define a constant instead of duplicating this literal "computed" 3 times.,null,
java:S1192,54,54,DISTINCT,Define a constant instead of duplicating this literal "array" 3 times.,null,
java:S1192,44,44,DISTINCT,Define a constant instead of duplicating this literal "filled" 3 times.,null,
