rule key,start line,end line,severity,message,type
java:S127,88,88,CLEAR,Refactor the code in order to not assign to this loop counter from within the loop body.,null,
java:S1598,1,1,CONVENTIONAL,File path "" should match package name "ch.benediktkoeppel.code.droidplane.controller". Move the file or change the package name.,null,
java:S6353,65,65,CLEAR,Use concise character class syntax '\\d' instead of '[0-9]'.,null,
java:S3776,96,96,FOCUSED,Refactor this method to reduce its Cognitive Complexity from 19 to the 15 allowed.,null,
