rule key,start line,end line,severity,message,type
java:S1598,1,1,CONVENTIONAL,File path "" should match package name "com.cedarsoftware.util". Move the file or change the package name.,null,
java:S1192,28,28,DISTINCT,Define a constant instead of duplicating this literal "MM/dd" 5 times.,null,
java:S3011,20,20,MODULAR,This accessibility update should be removed.,null,
java:S3011,50,50,MODULAR,This accessibility update should be removed.,null,
java:S3011,52,52,MODULAR,This accessibility bypass should be removed.,null,
java:S3011,65,65,MODULAR,This accessibility bypass should be removed.,null,
